#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.67e+01    2.30e+01      2.44e-01    2.24e-01      5.29e-01    7.26e-01    1.0e-03
    200      8.69e+00    1.54e+01      1.40e+00    1.33e+00      3.01e-01    5.39e-01    8.1e-04
    400      7.84e+00    8.86e+00      2.59e-01    2.49e-01      3.04e-01    3.44e-01    6.6e-04
    600      1.02e+01    9.60e+00      1.76e+00    1.80e+00      4.27e-01    3.99e-01    5.4e-04
    800      6.26e+00    7.12e+00      2.19e-01    2.25e-01      2.98e-01    3.39e-01    4.4e-04
   1000      2.28e+00    3.12e+00      2.64e-01    2.52e-01      1.18e-01    1.63e-01    3.6e-04
   1200      3.27e+00    2.58e+00      1.42e-01    1.56e-01      1.90e-01    1.50e-01    2.9e-04
   1400      3.78e+00    4.13e+00      2.67e-01    2.56e-01      2.43e-01    2.65e-01    2.4e-04
   1600      4.46e+00    2.02e+00      9.88e-02    7.18e-02      3.19e-01    1.45e-01    1.9e-04
   1800      1.61e+00    2.85e+00      1.16e-01    1.07e-01      1.27e-01    2.25e-01    1.6e-04
   2000      1.45e+00    2.52e+00      1.68e-01    1.76e-01      1.24e-01    2.20e-01    1.3e-04
   2200      2.26e+00    1.47e+00      2.77e-02    7.49e-03      2.19e-01    1.43e-01    1.0e-04
   2400      1.04e+00    1.17e+00      3.76e-02    6.01e-02      1.12e-01    1.25e-01    8.5e-05
   2600      1.82e+00    9.82e-01      3.71e-02    3.85e-02      2.16e-01    1.17e-01    6.9e-05
   2800      1.05e+00    1.03e+00      1.40e-02    2.29e-02      1.38e-01    1.35e-01    5.7e-05
   3000      9.54e-01    8.60e-01      3.75e-02    4.19e-02      1.39e-01    1.25e-01    4.6e-05
   3200      9.89e-01    9.71e-01      3.51e-02    9.69e-03      1.59e-01    1.56e-01    3.8e-05
   3400      8.47e-01    8.52e-01      2.68e-02    4.73e-02      1.51e-01    1.51e-01    3.1e-05
   3600      1.38e+00    5.76e-01      2.48e-02    3.58e-02      2.71e-01    1.12e-01    2.5e-05
   3800      8.96e-01    8.03e-01      3.21e-02    3.37e-02      1.94e-01    1.74e-01    2.0e-05
   4000      8.55e-01    5.10e-01      2.41e-02    9.56e-03      2.04e-01    1.22e-01    1.7e-05
   4200      4.65e-01    5.65e-01      8.54e-03    3.58e-02      1.22e-01    1.48e-01    1.3e-05
   4400      3.60e-01    5.52e-01      1.54e-02    5.95e-02      1.04e-01    1.56e-01    1.1e-05
   4600      6.13e-01    4.57e-01      1.80e-02    1.03e-02      1.94e-01    1.45e-01    8.9e-06
   4800      5.95e-01    3.15e-01      2.30e-02    3.37e-02      2.06e-01    1.07e-01    7.3e-06
   5000      5.22e-01    3.59e-01      2.54e-02    1.19e-02      1.97e-01    1.36e-01    5.9e-06
   5200      2.88e-01    5.65e-01      1.35e-02    3.79e-02      1.19e-01    2.32e-01    4.8e-06
   5400      3.32e-01    2.58e-01      1.06e-02    8.35e-03      1.49e-01    1.16e-01    3.9e-06
   5600      2.04e-01    2.05e-01      1.31e-02    1.48e-02      9.88e-02    9.91e-02    3.2e-06
   5800      3.80e-01    3.20e-01      1.87e-02    3.34e-02      1.99e-01    1.65e-01    2.6e-06
   6000      3.75e-01    2.07e-01      2.91e-02    9.31e-03      2.10e-01    1.17e-01    2.1e-06
   6200      2.41e-01    3.22e-01      7.12e-03    2.87e-02      1.46e-01    1.92e-01    1.7e-06
   6400      2.00e-01    3.28e-01      1.37e-02    3.34e-02      1.28e-01    2.07e-01    1.4e-06
   6600      2.17e-01    2.08e-01      9.07e-03    1.08e-02      1.47e-01    1.41e-01    1.1e-06
   6800      2.63e-01    2.27e-01      1.36e-02    2.94e-02      1.88e-01    1.57e-01    9.3e-07
   7000      2.80e-01    2.76e-01      1.97e-02    2.64e-02      2.09e-01    2.04e-01    7.6e-07
   7200      2.47e-01    1.67e-01      2.45e-02    1.40e-02      1.90e-01    1.30e-01    6.2e-07
   7400      2.55e-01    1.82e-01      1.88e-02    1.18e-02      2.05e-01    1.47e-01    5.1e-07
   7600      2.17e-01    1.77e-01      3.09e-02    3.17e-02      1.75e-01    1.39e-01    4.1e-07
   7800      2.58e-01    2.26e-01      2.42e-02    2.28e-02      2.19e-01    1.92e-01    3.4e-07
   8000      1.45e-01    2.16e-01      9.92e-03    2.58e-02      1.27e-01    1.86e-01    2.7e-07
   8200      1.25e-01    1.45e-01      9.48e-03    6.90e-03      1.12e-01    1.30e-01    2.2e-07
   8400      1.50e-01    1.98e-01      1.05e-02    2.94e-02      1.37e-01    1.74e-01    1.8e-07
   8600      1.40e-01    1.48e-01      1.56e-02    4.66e-03      1.28e-01    1.38e-01    1.5e-07
   8800      1.41e-01    1.45e-01      1.34e-02    3.51e-02      1.31e-01    1.19e-01    1.2e-07
   9000      1.32e-01    1.44e-01      1.08e-02    3.48e-02      1.24e-01    1.20e-01    9.8e-08
   9200      1.25e-01    1.30e-01      1.08e-02    5.25e-03      1.19e-01    1.24e-01    8.0e-08
   9400      2.72e-01    1.46e-01      1.89e-02    4.53e-02      2.61e-01    1.11e-01    6.5e-08
   9600      2.65e-01    1.43e-01      2.04e-02    6.50e-03      2.55e-01    1.39e-01    5.3e-08
   9800      2.26e-01    1.96e-01      1.75e-02    2.63e-02      2.19e-01    1.85e-01    4.3e-08
  10000      1.22e-01    1.30e-01      1.26e-02    9.53e-03      1.17e-01    1.26e-01    3.5e-08
